elapsed (s),x-axis (g),y-axis (g),z-axis (g)
0,-0.044,0.022,1.024
0,-0.046,0.022,1.036
0,-0.043,0.023,1.032
0.124,-0.044,0.023,1.033
0.124,-0.047,0.022,1.035
0.124,-0.045,0.023,1.033
0.248,-0.046,0.023,1.032
0.248,-0.044,0.024,1.033
0.248,-0.045,0.023,1.033
0.372,-0.046,0.023,1.031
0.372,-0.043,0.023,1.033
0.372,-0.046,0.023,1.031
0.484,-0.046,0.022,1.033
0.485,-0.046,0.023,1.031
0.485,-0.046,0.023,1.032
0.608,-0.046,0.023,1.034
0.608,-0.045,0.022,1.034
0.608,-0.046,0.022,1.034
0.731,-0.044,0.025,1.032
0.731,-0.043,0.023,1.032
0.731,-0.044,0.022,1.032
0.855,-0.045,0.023,1.034
0.855,-0.046,0.023,1.033
0.855,-0.045,0.022,1.033
0.968,-0.044,0.023,1.032
0.968,-0.044,0.023,1.033
0.968,-0.045,0.023,1.034
1.092,-0.046,0.023,1.035
1.092,-0.045,0.023,1.034
1.092,-0.045,0.023,1.034
1.214,-0.046,0.025,1.033
1.215,-0.044,0.023,1.033
1.215,-0.044,0.023,1.033
1.328,-0.046,0.023,1.034
1.328,-0.045,0.023,1.033
1.328,-0.045,0.023,1.032
1.452,-0.045,0.022,1.032
1.452,-0.045,0.022,1.033
1.452,-0.046,0.023,1.033
1.574,-0.044,0.023,1.034
1.575,-0.045,0.023,1.034
1.575,-0.045,0.023,1.035
1.698,-0.046,0.023,1.033
1.698,-0.045,0.024,1.036
1.698,-0.044,0.023,1.034
1.812,-0.045,0.022,1.033
1.812,-0.046,0.023,1.034
1.812,-0.044,0.023,1.035
1.935,-0.043,0.023,1.035
1.935,-0.046,0.022,1.033
1.935,-0.045,0.022,1.033
2.058,-0.045,0.023,1.034
2.058,-0.044,0.022,1.035
2.058,-0.045,0.022,1.035
2.182,-0.045,0.023,1.034
2.182,-0.044,0.022,1.034
2.182,-0.044,0.023,1.035
2.296,-0.045,0.023,1.035
2.296,-0.046,0.023,1.035
2.296,-0.047,0.022,1.035
2.418,-0.046,0.022,1.036
2.418,-0.045,0.022,1.036
2.418,-0.046,0.023,1.034
2.542,-0.045,0.022,1.037
2.542,-0.045,0.022,1.035
2.542,-0.045,0.023,1.035
2.666,-0.061,0.047,1.035
2.666,-0.031,0.01,1.038
2.666,-0.035,0.008,1.035
2.778,-0.047,0.023,1.035
2.778,-0.043,0.023,1.036
2.778,-0.043,0.021,1.036
2.902,-0.042,0.012,1.034
2.902,-0.047,0.016,1.036
2.902,-0.057,0.042,1.032
3.026,-0.037,0.018,1.037
3.026,-0.066,0.033,1.045
3.026,-0.07,0.02,1.033
3.139,-0.069,0.021,1.033
3.139,-0.083,0.034,1.041
3.139,-0.087,0.038,1.057
3.262,-0.072,0.036,1.059
3.263,-0.07,-0.014,1.111
3.263,-0.07,-0.03,1.083
3.386,-0.07,-0.017,1
3.386,-0.036,0.008,1.008
3.386,-0.019,-0.008,1.033
3.51,-0.014,-0.003,0.972
3.51,-0.005,-0.025,0.98
3.51,-0.014,-0.052,1.046
3.623,-0.025,-0.04,1.04
3.623,-0.017,-0.068,0.999
3.623,-0.025,-0.063,1.052
3.746,-0.027,-0.073,1.055
3.746,-0.024,-0.083,1.013
3.746,-0.04,-0.084,1.034
3.87,-0.02,-0.158,1.031
3.87,-0.006,-0.225,1.001
3.873,-0.035,-0.213,1.019
3.994,-0.041,-0.289,0.953
3.994,-0.029,-0.336,1.014
3.994,-0.051,-0.368,0.949
4.107,-0.034,-0.416,0.969
4.107,-0.044,-0.465,0.885
4.107,-0.058,-0.508,0.926
4.23,0.019,-0.546,0.813
4.23,-0.002,-0.579,0.865
4.23,-0.003,-0.56,0.814
4.354,0.009,-0.621,0.798
4.354,0.008,-0.66,0.826
4.354,-0.007,-0.643,0.733
4.466,-0.003,-0.706,0.696
4.466,-0.013,-0.729,0.697
4.466,-0.01,-0.715,0.654
4.59,-0.016,-0.751,0.704
4.59,-0.003,-0.701,0.723
4.59,-0.007,-0.718,0.71
4.714,-0.025,-0.693,0.73
4.714,0.001,-0.675,0.789
4.714,-0.01,-0.64,0.845
4.838,-0.002,-0.636,0.895
4.838,0.003,-0.479,0.815
4.838,0.024,-0.425,0.805
4.95,0.031,-0.458,0.952
4.951,0.022,-0.41,0.95
4.951,0.016,-0.362,0.846
5.074,0.017,-0.282,1.014
5.074,-0.003,-0.291,0.988
5.076,0.005,-0.254,1.009
5.198,0,-0.187,0.997
5.198,-0.016,-0.174,1.005
5.198,-0.014,-0.139,1.001
5.322,-0.01,-0.146,1.053
5.322,-0.021,-0.063,1.036
5.322,-0.028,-0.015,1.041
5.434,-0.03,0.048,1.039
5.435,-0.039,0.006,0.997
5.435,-0.037,0.039,1.082
5.558,-0.041,0.016,1.07
5.558,-0.046,0.067,1.042
5.559,-0.044,0.072,1.012
5.682,-0.041,0.05,1.023
5.682,-0.049,0.03,1.024
5.682,-0.051,0.015,1.04
5.805,-0.048,0.042,1.063
5.805,-0.055,0.084,1.053
5.805,-0.048,0.053,1.019
5.918,-0.05,0.046,1.03
5.918,-0.056,0.05,1.071
5.918,-0.054,0.05,1.045
6.042,-0.048,-0.01,1.028
6.042,-0.042,-0.005,1.064
6.042,-0.041,-0.107,1.011
6.166,-0.046,-0.148,1.023
6.166,-0.05,-0.238,0.975
6.166,-0.032,-0.26,1.054
6.278,-0.044,-0.246,0.979
6.278,-0.039,-0.307,0.938
6.278,-0.031,-0.35,0.993
6.401,-0.045,-0.387,0.957
6.402,-0.042,-0.379,0.96
6.402,-0.048,-0.423,0.892
6.526,-0.053,-0.423,0.929
6.526,-0.056,-0.504,0.889
6.526,-0.047,-0.554,0.88
6.649,-0.045,-0.552,0.856
6.649,-0.046,-0.568,0.845
6.65,-0.051,-0.593,0.808
6.762,-0.056,-0.624,0.811
6.762,-0.077,-0.648,0.777
6.762,-0.072,-0.685,0.754
6.885,-0.076,-0.667,0.776
6.885,-0.06,-0.68,0.77
6.885,-0.055,-0.674,0.717
7.009,-0.059,-0.694,0.686
7.009,-0.052,-0.713,0.715
7.009,-0.064,-0.715,0.705
7.133,-0.055,-0.701,0.734
7.133,-0.055,-0.679,0.71
7.133,-0.048,-0.643,0.742
7.246,-0.043,-0.654,0.815
7.246,-0.039,-0.608,0.877
7.246,-0.045,-0.613,0.813
7.369,-0.023,-0.588,0.878
7.37,-0.034,-0.566,0.756
7.37,-0.028,-0.575,0.813
7.493,-0.029,-0.541,0.846
7.493,-0.031,-0.559,0.851
7.493,-0.02,-0.473,0.898
7.606,-0.019,-0.513,0.927
7.606,0.002,-0.411,0.982
7.606,-0.016,-0.404,0.854
7.729,0.006,-0.381,0.961
7.729,-0.001,-0.338,0.966
7.729,-0.013,-0.308,1.001
7.853,-0.019,-0.246,0.928
7.853,-0.014,-0.236,1.045
7.853,-0.013,-0.151,1.039
7.976,-0.023,-0.136,1
7.977,-0.022,-0.047,1.027
7.977,-0.028,0.017,1.075
8.089,-0.033,0.041,1.039
8.089,-0.035,0.023,0.999
8.089,-0.034,0.093,1.053
8.213,-0.039,0.046,1.059
8.213,-0.061,0.102,1.082
8.213,-0.047,0.066,1.009
8.336,-0.036,0.046,1.023
8.337,-0.041,0.065,1.042
8.337,-0.041,0.048,1.03
8.461,-0.05,0.055,1.04
8.461,-0.044,0.067,1.057
